Label	File	ReadType	Batch
SRR2422918	./examples/MMB_material/htseq_count/SRR2422918.bam_htseq_ixs_exon.txt	exonic	1
SRR2422918	./examples/MMB_material/htseq_count/SRR2422918.bam_htseq_ixs_intron.txt	intronic	1
SRR2422919	./examples/MMB_material/htseq_count/SRR2422919.bam_htseq_ixs_exon.txt	exonic	1
SRR2422919	./examples/MMB_material/htseq_count/SRR2422919.bam_htseq_ixs_intron.txt	intronic	1
SRR2422920	./examples/MMB_material/htseq_count/SRR2422920.bam_htseq_ixs_exon.txt	exonic	1
SRR2422920	./examples/MMB_material/htseq_count/SRR2422920.bam_htseq_ixs_intron.txt	intronic	1
SRR2422921	./examples/MMB_material/htseq_count/SRR2422921.bam_htseq_ixs_exon.txt	exonic	1
SRR2422921	./examples/MMB_material/htseq_count/SRR2422921.bam_htseq_ixs_intron.txt	intronic	1
SRR2422922	./examples/MMB_material/htseq_count/SRR2422922.bam_htseq_ixs_exon.txt	exonic	1
SRR2422922	./examples/MMB_material/htseq_count/SRR2422922.bam_htseq_ixs_intron.txt	intronic	1
SRR2422923	./examples/MMB_material/htseq_count/SRR2422923.bam_htseq_ixs_exon.txt	exonic	1
SRR2422923	./examples/MMB_material/htseq_count/SRR2422923.bam_htseq_ixs_intron.txt	intronic	1
SRR2422924	./examples/MMB_material/htseq_count/SRR2422924.bam_htseq_ixs_exon.txt	exonic	1
SRR2422924	./examples/MMB_material/htseq_count/SRR2422924.bam_htseq_ixs_intron.txt	intronic	1
SRR2422925	./examples/MMB_material/htseq_count/SRR2422925.bam_htseq_ixs_exon.txt	exonic	1
SRR2422925	./examples/MMB_material/htseq_count/SRR2422925.bam_htseq_ixs_intron.txt	intronic	1
SRR2422926	./examples/MMB_material/htseq_count/SRR2422926.bam_htseq_ixs_exon.txt	exonic	1
SRR2422926	./examples/MMB_material/htseq_count/SRR2422926.bam_htseq_ixs_intron.txt	intronic	1
SRR2422927	./examples/MMB_material/htseq_count/SRR2422927.bam_htseq_ixs_exon.txt	exonic	1
SRR2422927	./examples/MMB_material/htseq_count/SRR2422927.bam_htseq_ixs_intron.txt	intronic	1
SRR2422928	./examples/MMB_material/htseq_count/SRR2422928.bam_htseq_ixs_exon.txt	exonic	1
SRR2422928	./examples/MMB_material/htseq_count/SRR2422928.bam_htseq_ixs_intron.txt	intronic	1
SRR2422929	./examples/MMB_material/htseq_count/SRR2422929.bam_htseq_ixs_exon.txt	exonic	1
SRR2422929	./examples/MMB_material/htseq_count/SRR2422929.bam_htseq_ixs_intron.txt	intronic	1
SRR2422930	./examples/MMB_material/htseq_count/SRR2422930.bam_htseq_ixs_exon.txt	exonic	1
SRR2422930	./examples/MMB_material/htseq_count/SRR2422930.bam_htseq_ixs_intron.txt	intronic	1
SRR2422931	./examples/MMB_material/htseq_count/SRR2422931.bam_htseq_ixs_exon.txt	exonic	1
SRR2422931	./examples/MMB_material/htseq_count/SRR2422931.bam_htseq_ixs_intron.txt	intronic	1
SRR2422932	./examples/MMB_material/htseq_count/SRR2422932.bam_htseq_ixs_exon.txt	exonic	1
SRR2422932	./examples/MMB_material/htseq_count/SRR2422932.bam_htseq_ixs_intron.txt	intronic	1
SRR2422933	./examples/MMB_material/htseq_count/SRR2422933.bam_htseq_ixs_exon.txt	exonic	1
SRR2422933	./examples/MMB_material/htseq_count/SRR2422933.bam_htseq_ixs_intron.txt	intronic	1
SRR2422934	./examples/MMB_material/htseq_count/SRR2422934.bam_htseq_ixs_exon.txt	exonic	1
SRR2422934	./examples/MMB_material/htseq_count/SRR2422934.bam_htseq_ixs_intron.txt	intronic	1
